INFO(chunker_countsort_laszip.cpp:176): counting 000009.las, first point: 0, num points: 121'048
INFO(chunker_countsort_laszip.cpp:176): counting 000012.las, first point: 0, num points: 121'380
INFO(chunker_countsort_laszip.cpp:176): counting 000006.las, first point: 0, num points: 120'800
INFO(chunker_countsort_laszip.cpp:176): counting 000003.las, first point: 0, num points: 120'564
INFO(chunker_countsort_laszip.cpp:176): counting 000000.las, first point: 0, num points: 120'066
INFO(chunker_countsort_laszip.cpp:176): counting 000004.las, first point: 0, num points: 120'690
INFO(chunker_countsort_laszip.cpp:176): counting 000001.las, first point: 0, num points: 120'113
INFO(chunker_countsort_laszip.cpp:176): counting 000013.las, first point: 0, num points: 121'475
INFO(chunker_countsort_laszip.cpp:176): counting 000007.las, first point: 0, num points: 120'816
INFO(chunker_countsort_laszip.cpp:176): counting 000010.las, first point: 0, num points: 121'175
INFO(chunker_countsort_laszip.cpp:176): counting 000005.las, first point: 0, num points: 120'789
INFO(chunker_countsort_laszip.cpp:176): counting 000008.las, first point: 0, num points: 120'911
INFO(chunker_countsort_laszip.cpp:176): counting 000021.las, first point: 0, num points: 121'953
INFO(chunker_countsort_laszip.cpp:176): counting 000011.las, first point: 0, num points: 121'244
INFO(chunker_countsort_laszip.cpp:176): counting 000002.las, first point: 0, num points: 120'293
INFO(chunker_countsort_laszip.cpp:176): counting 000014.las, first point: 0, num points: 121'468
INFO(chunker_countsort_laszip.cpp:176): counting 000018.las, first point: 0, num points: 121'663
INFO(chunker_countsort_laszip.cpp:176): counting 000027.las, first point: 0, num points: 122'627
INFO(chunker_countsort_laszip.cpp:176): counting 000019.las, first point: 0, num points: 121'801
INFO(chunker_countsort_laszip.cpp:176): counting 000025.las, first point: 0, num points: 122'306
INFO(chunker_countsort_laszip.cpp:176): counting 000015.las, first point: 0, num points: 121'522
INFO(chunker_countsort_laszip.cpp:176): counting 000024.las, first point: 0, num points: 122'197
INFO(chunker_countsort_laszip.cpp:176): counting 000016.las, first point: 0, num points: 121'523
INFO(chunker_countsort_laszip.cpp:176): counting 000022.las, first point: 0, num points: 122'053
INFO(chunker_countsort_laszip.cpp:176): counting 000028.las, first point: 0, num points: 122'636
INFO(chunker_countsort_laszip.cpp:176): counting 000026.las, first point: 0, num points: 122'440
INFO(chunker_countsort_laszip.cpp:176): counting 000017.las, first point: 0, num points: 121'591
INFO(chunker_countsort_laszip.cpp:176): counting 000020.las, first point: 0, num points: 121'898
INFO(chunker_countsort_laszip.cpp:176): counting 000023.las, first point: 0, num points: 122'192
INFO(chunker_countsort_laszip.cpp:176): counting 000029.las, first point: 0, num points: 122'658
INFO(chunker_countsort_laszip.cpp:176): counting 000036.las, first point: 0, num points: 123'082
INFO(chunker_countsort_laszip.cpp:176): counting 000030.las, first point: 0, num points: 122'622
INFO(chunker_countsort_laszip.cpp:176): counting 000033.las, first point: 0, num points: 122'678
INFO(chunker_countsort_laszip.cpp:176): counting 000039.las, first point: 0, num points: 123'614
INFO(chunker_countsort_laszip.cpp:176): counting 000037.las, first point: 0, num points: 123'374
INFO(chunker_countsort_laszip.cpp:176): counting 000031.las, first point: 0, num points: 122'516
INFO(chunker_countsort_laszip.cpp:176): counting 000042.las, first point: 0, num points: 124'878
INFO(chunker_countsort_laszip.cpp:176): counting 000034.las, first point: 0, num points: 122'834
INFO(chunker_countsort_laszip.cpp:176): counting 000040.las, first point: 0, num points: 123'997
INFO(chunker_countsort_laszip.cpp:176): counting 000043.las, first point: 0, num points: 124'640
INFO(chunker_countsort_laszip.cpp:176): counting 000038.las, first point: 0, num points: 123'592
INFO(chunker_countsort_laszip.cpp:176): counting 000032.las, first point: 0, num points: 122'481
INFO(chunker_countsort_laszip.cpp:176): counting 000035.las, first point: 0, num points: 122'976
INFO(chunker_countsort_laszip.cpp:176): counting 000045.las, first point: 0, num points: 123'625
INFO(chunker_countsort_laszip.cpp:176): counting 000041.las, first point: 0, num points: 124'427
INFO(chunker_countsort_laszip.cpp:176): counting 000051.las, first point: 0, num points: 126'375
INFO(chunker_countsort_laszip.cpp:176): counting 000054.las, first point: 0, num points: 126'483
INFO(chunker_countsort_laszip.cpp:176): counting 000044.las, first point: 0, num points: 123'745
INFO(chunker_countsort_laszip.cpp:176): counting 000057.las, first point: 0, num points: 126'037
INFO(chunker_countsort_laszip.cpp:176): counting 000048.las, first point: 0, num points: 125'780
INFO(chunker_countsort_laszip.cpp:176): counting 000046.las, first point: 0, num points: 124'354
INFO(chunker_countsort_laszip.cpp:176): counting 000047.las, first point: 0, num points: 125'238
INFO(chunker_countsort_laszip.cpp:176): counting 000055.las, first point: 0, num points: 126'135
INFO(chunker_countsort_laszip.cpp:176): counting 000052.las, first point: 0, num points: 126'511
INFO(chunker_countsort_laszip.cpp:176): counting 000053.las, first point: 0, num points: 126'476
INFO(chunker_countsort_laszip.cpp:176): counting 000056.las, first point: 0, num points: 126'027
INFO(chunker_countsort_laszip.cpp:176): counting 000058.las, first point: 0, num points: 125'992
INFO(chunker_countsort_laszip.cpp:176): counting 000060.las, first point: 0, num points: 126'259
INFO(chunker_countsort_laszip.cpp:176): counting 000049.las, first point: 0, num points: 126'214
INFO(chunker_countsort_laszip.cpp:176): counting 000050.las, first point: 0, num points: 126'366
INFO(chunker_countsort_laszip.cpp:176): counting 000061.las, first point: 0, num points: 126'398
INFO(chunker_countsort_laszip.cpp:176): counting 000063.las, first point: 0, num points: 126'555
INFO(chunker_countsort_laszip.cpp:176): counting 000066.las, first point: 0, num points: 127'038
INFO(chunker_countsort_laszip.cpp:176): counting 000059.las, first point: 0, num points: 126'122
INFO(chunker_countsort_laszip.cpp:176): counting 000062.las, first point: 0, num points: 126'526
INFO(chunker_countsort_laszip.cpp:176): counting 000069.las, first point: 0, num points: 128'137
INFO(chunker_countsort_laszip.cpp:176): counting 000072.las, first point: 0, num points: 127'928
INFO(chunker_countsort_laszip.cpp:176): counting 000067.las, first point: 0, num points: 127'667
INFO(chunker_countsort_laszip.cpp:176): counting 000064.las, first point: 0, num points: 126'754
INFO(chunker_countsort_laszip.cpp:176): counting 000068.las, first point: 0, num points: 128'106
INFO(chunker_countsort_laszip.cpp:176): counting 000075.las, first point: 0, num points: 128'148
INFO(chunker_countsort_laszip.cpp:176): counting 000070.las, first point: 0, num points: 128'088
INFO(chunker_countsort_laszip.cpp:176): counting 000074.las, first point: 0, num points: 128'133
INFO(chunker_countsort_laszip.cpp:176): counting 000073.las, first point: 0, num points: 127'993
INFO(chunker_countsort_laszip.cpp:176): counting 000065.las, first point: 0, num points: 126'840
INFO(chunker_countsort_laszip.cpp:176): counting 000084.las, first point: 0, num points: 127'894
INFO(chunker_countsort_laszip.cpp:176): counting 000076.las, first point: 0, num points: 128'259
INFO(chunker_countsort_laszip.cpp:176): counting 000078.las, first point: 0, num points: 128'436
INFO(chunker_countsort_laszip.cpp:176): counting 000071.las, first point: 0, num points: 127'991
INFO(chunker_countsort_laszip.cpp:176): counting 000087.las, first point: 0, num points: 128'276
INFO(chunker_countsort_laszip.cpp:176): counting 000081.las, first point: 0, num points: 128'294
INFO(chunker_countsort_laszip.cpp:176): counting 000085.las, first point: 0, num points: 127'924
INFO(chunker_countsort_laszip.cpp:176): counting 000082.las, first point: 0, num points: 128'287
INFO(chunker_countsort_laszip.cpp:176): counting 000077.las, first point: 0, num points: 128'318
INFO(chunker_countsort_laszip.cpp:176): counting 000088.las, first point: 0, num points: 128'176
INFO(chunker_countsort_laszip.cpp:176): counting 000079.las, first point: 0, num points: 128'330
INFO(chunker_countsort_laszip.cpp:176): counting 000086.las, first point: 0, num points: 127'980
INFO(chunker_countsort_laszip.cpp:176): counting 000090.las, first point: 0, num points: 127'818
INFO(chunker_countsort_laszip.cpp:176): counting 000080.las, first point: 0, num points: 128'377
INFO(chunker_countsort_laszip.cpp:176): counting 000083.las, first point: 0, num points: 128'208
INFO(chunker_countsort_laszip.cpp:176): counting 000093.las, first point: 0, num points: 127'743
INFO(chunker_countsort_laszip.cpp:176): counting 000089.las, first point: 0, num points: 128'127
